"BUDGET FISCAL YEAR","FTYP","FUNDTYPE","APPR","APPROPRIATION","Service Number","SERVICE","OBJECTGROUP","EXPENDITURE CLASSIFICATION","CURRENT BUDGET","ENCUMBRANCE","EXPENSES","ENCUMB&EXPENSE"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.18","City GIS Services","RE","Reimbursements","(1 008 707)","0","(1 041 054,17)","(1 041 054,17)"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","5.43","Land Surveying Services","RE","Reimbursements","(623 819)","0","(547 615,33)","(547 615,33)"
"2 017","GNFD","General Fund","0001CCS","Code Compliance GF","3.12","Dallas Animal Services","RE","Reimbursements","0","0","(17 680)","(17 680)"
"2 016","GNFD","General Fund","0001POM","Business Development & Procurement GF","5.49","Purchasing/Contract Management","QM","Supplies & Materials","12 929","0","13 529,65","13 529,65"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","2.0699999999999998","Capital Facilities","QV","Contractual & Other Services","417 491","0","489 247,04","489 247,04"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.38","Rights-of-Way Maintenance Contracts and Inspections Group","RE","Reimbursements","(954 000)","0","0","0"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1100000000000001","Fire Investigation & Explosive Ordnance Disposal","QM","Supplies & Materials","34 455","0","61 287,12","61 287,12"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.39","Service Maintenance Areas","RE","Reimbursements","(3 425 443)","0","0","0"
"2 016","GNFD","General Fund","0001POM","Business Development & Procurement GF","5.49","Purchasing/Contract Management","PS","Personnel Services","1 864 511","0","1 934 395,36","1 934 395,36"
"2 016","INSV","Internal Service Fund","0199POM","Express Business Center POM","5.B","Business Services","PS","Personnel Services","433 998","0","436 469,24","436 469,24"
"2 016","GNFD","General Fund","0001STS","Street Services GF","9.99","Department Support","RE","Reimbursements","(1 225 127)","0","0","0"
"2 016","GNFD","General Fund","RSVTRAN","Reserves & Transfers","5.22","Contingency Reserve","TR","Transfers Out","2 628 101","0","2 628 101","2 628 101"
"2 016","GNFD","General Fund","RSVTRAN","Reserves & Transfers","5.44","Liability/Claims Fund Transfer","QV","Contractual & Other Services","1 994 219","0","1 994 219","1 994 219"
"2 016","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.03","Animal Remains Collection","QM","Supplies & Materials","45 688","0","31 903,34","31 903,34"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","2.1800000000000002","Fire Inspection for New Construction","RE","Reimbursements","(1 629 602)","0","(436 257,64)","(436 257,64)"
"2 016","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.16","Express Plan Review","QV","Contractual & Other Services","22 700","0","27 198,55","27 198,55"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1200000000000001","Fire Training and Recruitment","PS","Personnel Services","11 797 172","0","7 308 182,84","7 308 182,84"
"2 016","GNFD","General Fund","0001PER","Human Resources GF","5.39","Human Resource Consulting","QV","Contractual & Other Services","889 705","0","749 462,93","749 462,93"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","2.0499999999999998","Capital and Implementation Program","RE","Reimbursements","(5 164 604)","0","(4 844 198,49)","(4 844 198,49)"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","3.25","Wastewater Treatment","RC","Capital Outlay","591 569","0","697 445,4","697 445,4"
"2 016","GNFD","General Fund","0001LIB","Library GF","4.08","Literacy Initiatives, Education & Community Engagement","QM","Supplies & Materials","28 201","0","18 977,68","18 977,68"
"2 016","GNFD","General Fund","0001CVS","Civil Service GF","5.2","Civil Service Board Administration/Employee Appeals Process","QV","Contractual & Other Services","61 936","0","22 278,01","22 278,01"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.21","Police Administrative Support","QM","Supplies & Materials","2 481 323","0","2 932 476,2","2 932 476,2"
"2 016","GNFD","General Fund","0001CCO","City Controller's Office GF","5.32","Financial Reporting","QV","Contractual & Other Services","228 668","0","218 287,38","218 287,38"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","2.2599999999999998","Interagency and Transportation Administration","QM","Supplies & Materials","8 209","0","10 154,65","10 154,65"
"2 016","INSV","Internal Service Fund","0199POM","Express Business Center POM","5.G","Disposal of Surplus and Police Unclaimed Property","PS","Personnel Services","188 844","0","186 348,68","186 348,68"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","4.04","Golf and Tennis Centers","QM","Supplies & Materials","1 217 229","0","1 336 539,13","1 336 539,13"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","4.0999999999999996","Planning, Design, Construction & EMS and Environ Compliance","QV","Contractual & Other Services","283 237","0","72 574,36","72 574,36"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","4.04","Golf and Tennis Centers","RE","Reimbursements","(357 319)","0","(535 611,07)","(535 611,07)"
"2 016","GNFD","General Fund","0001LIB","Library GF","4.0599999999999996","Library Materials & Collection Management","QV","Contractual & Other Services","1 944 446","0","1 399 658,85","1 399 658,85"
"2 016","GNFD","General Fund","0001PER","Human Resources GF","5.21","Compensation Analysis / Classification","QV","Contractual & Other Services","121 455","0","82 371,73","82 371,73"
"2 016","INSV","Internal Service Fund","0199POM","Express Business Center POM","5.G","Disposal of Surplus and Police Unclaimed Property","TR","Transfers Out","11 368","0","0","0"
"2 016","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.E","City Fleet Maintenance and Repair Services","PS","Personnel Services","13 098 086","0","12 776 108,53","12 776 108,53"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","2.0699999999999998","Capital Facilities","QM","Supplies & Materials","10 040","0","25 186,86","25 186,86"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","2.2999999999999998","Operation & Maintenance of Fair Park","PS","Personnel Services","3 534 037","0","3 289 819,77","3 289 819,77"
"2 016","OTHO","Other Operating Fund","0278PER","Employee Benefits Administration","5.J","HR Benefits Administration Services","PS","Personnel Services","613 928","0","513 333,48","513 333,48"
"2 016","OTHO","Other Operating Fund","0286PER","Wellness Program Fund","5.R","Wellness Program","QM","Supplies & Materials","1 000","0","392,9","392,9"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","4.12","Recreation Services","PS","Personnel Services","12 693 742","0","13 307 630,72","13 307 630,72"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.2","Police Academy and In-service Training","PS","Personnel Services","17 663 542","0","16 743 902,62","16 743 902,62"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1200000000000001","Fire Training and Recruitment","QM","Supplies & Materials","461 293","0","901 942,65","901 942,65"
"2 016","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.K","Internal Computer Support","RC","Capital Outlay","0","0","755 280","755 280"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.33","Special Operations","RE","Reimbursements","(5 951 946)","0","(1 423 171,39)","(1 423 171,39)"
"2 016","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.I","Fuel Procurement and Management","QM","Supplies & Materials","14 245 013","0","11 073 755,2","11 073 755,2"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.33","Special Operations","RE","Reimbursements","(5 951 946)","0","(5 853 507,19)","(5 853 507,19)"
"2 016","GNFD","General Fund","0001DEV","Sustainable Dev and Construction GF","2.35","Real Estate and Relocation","QM","Supplies & Materials","16 481","0","19 459,47","19 459,47"
"2 016","EFOP","Enterprise Operating Fund","0080CCT","Convention Center CCT","2.1","Dallas Convention Center","QM","Supplies & Materials","4 083 826","0","3 808 098,31","3 808 098,31"
"2 016","GNFD","General Fund","0001ECO","Economic Development GF","2.4","Small Business Initiatives","RE","Reimbursements","(670 815)","0","(393 685)","(393 685)"
"2 016","GNFD","General Fund","0001POM","Business Development & Procurement GF","5.1100000000000003","Business Inclusion & Development Compliance Monitoring","PS","Personnel Services","475 373","0","447 457,6","447 457,6"
"2 016","GNFD","General Fund","0001ATT","City Attorney's Office GF","9.99","Department Support","QM","Supplies & Materials","70 235","0","47 713,83","47 713,83"
"2 016","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.2200000000000002","GIS Mapping for Private Development","RE","Reimbursements","0","0","(10 040)","(10 040)"
"2 016","EFOP","Enterprise Operating Fund","0130AVI","Airport Operations AVI","2.21","Aviation Facilities - Dallas Executive Airport & Vertiport","RE","Reimbursements","0","0","(57 901,25)","(57 901,25)"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.48","Traffic Safety and Congestion Management","RC","Capital Outlay","1 800 000","0","6 000","6 000"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.4700000000000002","Traffic Operations Maintenance","RE","Reimbursements","(837 449)","0","(1 293 752,91)","(1 293 752,91)"
"2 016","EFOP","Enterprise Operating Fund","0130AVI","Airport Operations AVI","2.06","Capital Construction and Debt Service","TR","Transfers Out","25 153 923","0","19 873 688,55","19 873 688,55"
"2 016","EFOP","Enterprise Operating Fund","0080CCT","Convention Center CCT","2.29","Office of Special Events","PS","Personnel Services","446 280","0","386 470,99","386 470,99"
"2 016","GNFD","General Fund","0001BMS","Office of Financial Services GF","5.36","Grant Administration","PS","Personnel Services","1 099 050","0","1 107 076,65","1 107 076,65"
"2 016","GNFD","General Fund","0001ATT","City Attorney's Office GF","3.07","Community Prosecution & Community Courts","QM","Supplies & Materials","23 968","0","82 221,41","82 221,41"
"2 016","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.H","Environmental Services for City Fleet Operations","QM","Supplies & Materials","67 603","0","10 846,31","10 846,31"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","2.1800000000000002","Fire Inspection for New Construction","QV","Contractual & Other Services","62 518","0","86 050,63","86 050,63"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","4.01","Aquatic Services","QM","Supplies & Materials","749 644","0","869 976,3","869 976,3"
"2 016","GNFD","General Fund","0001IGS","Mgmt Services - Intergovernmental Services","5.41","Intergovernmental Services","QV","Contractual & Other Services","79 359","0","84 563,5","84 563,5"
"2 016","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.F","City Fleet Paint and Body Shop Coordination","QM","Supplies & Materials","267","0","6 649,41","6 649,41"
"2 016","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","2.2000000000000002","Floodplain and Drainage Management","QM","Supplies & Materials","20 358","0","43 017,46","43 017,46"
"2 016","GNFD","General Fund","0001BMS","Office of Financial Services GF","5.36","Grant Administration","RE","Reimbursements","0","0","(48 131,45)","(48 131,45)"
"2 016","GNFD","General Fund","0001ECO","Economic Development GF","2.13","Economic Development Major Projects & Other Programs","RE","Reimbursements","(346 752)","0","(239 998,5)","(239 998,5)"
"2 016","GNFD","General Fund","0001TWM","Trinity Watershed Management GF","2.4900000000000002","Trinity River Corridor Operations","PS","Personnel Services","638 013","0","561 601,03","561 601,03"
"2 017","EFOP","Enterprise Operating Fund","0130AVI","Airport Operations AVI","2.12","Dallas Love Field","WA","Debt Svc-Principal","266 039","0","132 392,54","132 392,54"
"2 017","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","3.22","Stormwater Regulations & Enforcement","RC","Capital Outlay","199 930","0","31 965,75","31 965,75"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","2.0499999999999998","Capital and Implementation Program","QM","Supplies & Materials","58 392","0","72 054,02","72 054,02"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","4.12","Recreation Services","QV","Contractual & Other Services","4 425 289","0","3 192 359,59","3 192 359,59"
"2 016","GNFD","General Fund","0001MCC","Mayor and City Council GF","5.03","Administrative Support for the Mayor and City Council","PS","Personnel Services","3 587 074","0","3 864 787,19","3 864 787,19"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","4.0999999999999996","Planning, Design, Construction & EMS and Environ Compliance","QM","Supplies & Materials","29 352","0","17 767,31","17 767,31"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.26","DWU General Expense","TR","Transfers Out","24 554 000","0","6 016 926,75","6 016 926,75"
"2 016","GNFD","General Fund","0001PIO","Mgmt Services - Public Information Office","5.48","Public Information Office / Communications & Broadcasting","QM","Supplies & Materials","29 779","0","24 650,18","24 650,18"
"2 017","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.15","Engineering & Inspection Review for Private Development","RE","Reimbursements","(548 741)","0","(166 228)","(166 228)"
